Name,Profile_URL,Surname,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws
Viviane,http://ufcstats.com/fighter-details/36541f1e6c5d4955,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,13,6,0
Julio,http://ufcstats.com/fighter-details/1291edf2d566a71a,Arce,,"5' 7""",145 lbs.,"70.0""",Southpaw,19,6,0
Art,http://ufcstats.com/fighter-details/d25e39e74efb0a77,Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0
Alice,http://ufcstats.com/fighter-details/87f8699fdcc2c404,Ardelean,,"5' 3""",115 lbs.,"62.0""",Orthodox,9,7,0
Tristan,http://ufcstats.com/fighter-details/9c9455912d917e4e,Arenal,,--,155 lbs.,--,,7,4,0
Gabriel,http://ufcstats.com/fighter-details/db3c4a884d704efe,Arges,,--,170 lbs.,--,,0,0,0
Dan,http://ufcstats.com/fighter-details/e4ba58725825412d,Argueta,The Determined,"5' 7""",135 lbs.,"68.0""",Southpaw,9,3,0
Reza,http://ufcstats.com/fighter-details/90063913321e7670,Arianto,The Crazy Lion,--,155 lbs.,--,,5,0,0
Hashem,http://ufcstats.com/fighter-details/9a7ffa80766caa51,Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6,1,0
Andrei,http://ufcstats.com/fighter-details/3738e68d2261e60f,Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,34,24,0
Garrett,http://ufcstats.com/fighter-details/1effd880e1f1bb30,Armfield,,"5' 6""",135 lbs.,"70.0""",Orthodox,10,5,0
Joey,http://ufcstats.com/fighter-details/30ad2050273d016a,Armstrong,,--,--,--,,5,2,0
Austin,http://ufcstats.com/fighter-details/bf0e700106d00e55,Arnett,,"6' 0""",145 lbs.,"72.0""",Orthodox,16,6,0
Ricardo,http://ufcstats.com/fighter-details/05fbfe628658c538,Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14,5,0
Eli,http://ufcstats.com/fighter-details/a90c200c3fbb22c4,Aronov,The Israeli Tank,"5' 10""",185 lbs.,"72.0""",Orthodox,6,1,0
Chalid,http://ufcstats.com/fighter-details/770b9d4813c25902,Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7,3,0
Akbarh,http://ufcstats.com/fighter-details/c136b2a8852da5bd,Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23,11,1
Matt,http://ufcstats.com/fighter-details/de62052b2ede65ba,Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3,3,0
